Shark.label,totalAtt,unprovokedAttProp,fatalAttProp
Other,87,29.88505747126437,0.0
bull shark,195,85.12820512820512,32.30769230769231
tiger shark,225,54.22222222222223,38.22222222222222
whaler shark,71,57.74647887323944,7.042253521126761
white shark,352,82.38636363636364,25.28409090909091
wobbegong,196,49.48979591836735,0.0
